project_id,task_id,start_date,due_date,finish_date,task_type,phase,department,complexity,risk_level,estimated_effort_hours,actual_effort_hours,budget_allocated,budget_used,satisfaction_rating,delay_days,completed
P01,T0092,2024-01-27,2024-02-26,2024-02-16,Development,Execution,IT,2,Medium,68,86,9123,6968.51,5,-10,1
P05,T0093,2024-01-27,2024-03-12,2024-03-14,Deployment,Closure,Finance,3,Low,54,74,3279,2699.32,9,2,1
P10,T0094,2024-01-21,2024-02-09,2024-02-02,Development,Closure,Finance,5,Low,191,196,9980,8349.61,6,-7,1
P07,T0095,2024-01-30,2024-04-21,2024-04-11,Analysis,Closure,Marketing,5,Low,121,140,8451,6799.9,10,-10,1
P10,T0096,2024-04-06,2024-05-09,2024-06-07,Development,Closure,Operations,1,Low,30,35,9906,11452.8,7,29,0
P09,T0097,2024-01-28,2024-04-10,2024-05-01,Deployment,Execution,HR,3,High,118,119,1775,1764.73,8,21,0
P07,T0098,2024-04-20,2024-06-17,2024-07-10,Development,Execution,HR,4,Low,129,135,7869,7411.18,8,23,0
P09,T0099,2024-03-01,2024-04-15,2024-05-02,Analysis,Planning,Finance,1,High,93,98,3247,1736.79,10,17,0
P08,T0100,2024-02-17,2024-03-21,2024-04-10,Design,Planning,Marketing,3,Low,193,194,8088,9161.6,6,20,0
P02,T0101,2024-05-26,2024-06-27,2024-06-24,Deployment,Planning,HR,3,Low,28,25,1078,1225.23,9,-3,1
P01,T0102,2024-01-04,2024-03-15,2024-04-12,Design,Planning,Finance,1,Medium,22,31,9080,9499.03,8,28,0
P07,T0103,2024-02-04,2024-03-21,2024-04-05,Design,Execution,Operations,5,Medium,104,96,8099,4089.35,6,15,1
P07,T0104,2024-02-18,2024-03-10,2024-04-02,Design,Closure,HR,3,Low,45,50,4926,2660.51,10,23,0
P08,T0105,2024-01-17,2024-03-21,2024-03-13,Testing,Execution,Finance,5,Medium,91,110,8340,5484.86,5,-8,1
P05,T0106,2024-06-20,2024-07-12,2024-07-13,Testing,Planning,Finance,1,Medium,67,79,8083,4784.69,9,1,1
P03,T0107,2024-06-06,2024-07-08,2024-06-28,Design,Execution,IT,5,Low,175,192,7230,5633.51,7,-10,1
P08,T0108,2024-02-15,2024-03-25,2024-03-19,Deployment,Closure,Operations,2,High,136,165,5940,6806.27,8,-6,1
P06,T0109,2024-04-26,2024-05-22,2024-06-10,Analysis,Closure,IT,4,High,173,167,4271,3546.82,6,19,0
P03,T0110,2024-01-06,2024-03-17,2024-04-05,Analysis,Execution,Marketing,3,Medium,172,181,4456,2269.81,5,19,0
P01,T0111,2024-04-08,2024-04-30,2024-05-06,Development,Execution,IT,4,Low,31,60,8788,6133.34,7,6,1
P03,T0112,2024-05-03,2024-07-10,2024-07-22,Deployment,Execution,IT,5,Medium,152,142,9599,5099.15,6,12,1
P05,T0113,2024-02-06,2024-03-05,2024-03-09,Testing,Planning,HR,3,Low,67,86,8650,4544.72,6,4,1
P03,T0114,2024-01-24,2024-03-22,2024-04-17,Design,Execution,Finance,5,Low,56,66,3711,2571.74,7,26,0
P01,T0115,2024-04-02,2024-04-23,2024-05-03,Development,Execution,Operations,2,Low,63,72,2668,1848.73,5,10,1
P05,T0116,2024-02-15,2024-04-25,2024-04-28,Analysis,Execution,IT,1,Low,34,29,1147,1205.48,10,3,1
P10,T0117,2024-04-04,2024-05-02,2024-04-23,Testing,Closure,Operations,3,High,62,73,7420,8773.29,5,-9,1
P07,T0118,2024-04-08,2024-07-02,2024-07-02,Testing,Closure,IT,2,Medium,195,202,1365,1037.19,9,0,1
P07,T0119,2024-04-25,2024-05-13,2024-06-10,Design,Planning,Marketing,2,Medium,106,103,5531,4426.02,8,28,0
P09,T0120,2024-06-08,2024-08-27,2024-09-23,Analysis,Planning,IT,3,Low,89,117,6330,6908.26,7,27,0
P10,T0121,2024-06-09,2024-07-16,2024-08-08,Deployment,Closure,HR,5,Low,65,86,6510,4476.91,10,23,0
P10,T0122,2024-03-07,2024-06-02,2024-06-29,Testing,Closure,Finance,2,Low,127,149,9754,5944.74,7,27,0
P03,T0123,2024-05-07,2024-07-07,2024-07-30,Design,Closure,Marketing,4,High,142,147,9964,10932.13,7,23,0
P07,T0124,2024-01-18,2024-02-12,2024-02-19,Deployment,Execution,IT,2,Low,190,191,7493,3990.4,5,7,1
P01,T0125,2024-01-25,2024-04-12,2024-05-01,Analysis,Execution,Operations,5,High,40,67,6439,6012.67,8,19,0
P04,T0126,2024-02-23,2024-03-15,2024-03-19,Testing,Closure,Marketing,5,Medium,170,193,7511,6710.29,9,4,1
P04,T0127,2024-02-27,2024-04-01,2024-04-17,Deployment,Execution,Marketing,4,Low,126,129,8504,6311.2,6,16,0
P05,T0128,2024-03-07,2024-05-07,2024-05-30,Deployment,Execution,IT,2,Medium,99,124,2246,1618.54,6,23,0
P07,T0129,2024-04-13,2024-06-14,2024-07-11,Deployment,Planning,Marketing,5,Low,66,88,4839,5034.01,7,27,0
P07,T0130,2024-06-22,2024-07-24,2024-08-15,Testing,Closure,Operations,3,High,136,148,9551,5353.31,8,22,0
P04,T0131,2024-01-24,2024-02-18,2024-03-02,Testing,Closure,Marketing,1,High,143,134,3376,2247.57,10,13,1
P07,T0132,2024-04-23,2024-06-28,2024-07-02,Development,Execution,Operations,1,Low,162,172,4009,4059.97,5,4,1
P03,T0133,2024-02-01,2024-03-20,2024-04-08,Analysis,Closure,IT,1,Low,44,35,2827,2498.57,8,19,0
P06,T0134,2024-06-23,2024-08-24,2024-08-30,Design,Planning,Finance,2,Medium,55,71,7979,4704.35,8,6,1
P02,T0135,2024-03-26,2024-05-16,2024-05-10,Deployment,Planning,Marketing,4,High,70,68,9569,10693.31,5,-6,1
P10,T0136,2024-05-30,2024-08-05,2024-08-23,Development,Planning,Finance,5,Low,34,24,5285,4098.06,7,18,0
P09,T0137,2024-05-06,2024-06-23,2024-06-16,Design,Closure,Operations,3,Medium,87,87,7910,8538.91,8,-7,1
P05,T0138,2024-06-03,2024-06-26,2024-06-25,Development,Closure,Marketing,3,Medium,40,32,9561,10052.43,6,-1,1
P06,T0139,2024-05-09,2024-05-23,2024-05-29,Testing,Closure,HR,2,Medium,160,172,3196,2994.96,5,6,1
P04,T0140,2024-01-17,2024-03-01,2024-02-29,Deployment,Closure,Finance,1,Low,38,53,4747,4016.61,10,-1,1
P10,T0141,2024-04-13,2024-07-06,2024-07-12,Design,Closure,Marketing,2,Medium,53,46,9843,11670.7,9,6,1
P07,T0142,2024-06-09,2024-07-06,2024-07-15,Design,Planning,Finance,4,High,97,104,6978,4197.1,7,9,1
P09,T0143,2024-05-16,2024-08-09,2024-08-22,Design,Execution,Marketing,4,Low,144,139,6607,6657.27,5,13,1
P07,T0144,2024-02-12,2024-03-01,2024-02-24,Design,Planning,IT,5,Low,136,160,1769,1121.25,9,-6,1
P01,T0145,2024-06-24,2024-09-15,2024-10-08,Design,Closure,Finance,5,High,71,82,1780,1311.48,9,23,0
P01,T0146,2024-02-08,2024-04-15,2024-04-10,Development,Planning,HR,4,Low,46,50,7303,5229.6,10,-5,1
P09,T0147,2024-06-18,2024-07-14,2024-07-05,Deployment,Closure,HR,4,High,176,187,4983,5794.86,8,-9,1
P09,T0148,2024-01-26,2024-02-11,2024-02-13,Testing,Closure,Operations,4,Low,175,201,9714,11434.83,10,2,1
P04,T0149,2024-04-08,2024-06-02,2024-06-02,Testing,Planning,Marketing,2,Low,54,55,1521,955.36,8,0,1
P09,T0150,2024-02-19,2024-03-12,2024-03-24,Testing,Closure,Finance,4,High,155,182,8569,4416.67,8,12,1
P03,T0151,2024-06-01,2024-07-20,2024-07-25,Testing,Execution,Operations,3,Low,163,170,6784,6811.17,5,5,1
P07,T0152,2024-05-31,2024-07-21,2024-08-10,Development,Closure,Finance,1,Medium,125,149,5583,4425.05,5,20,0
P06,T0153,2024-01-13,2024-01-31,2024-01-31,Analysis,Execution,Marketing,4,Low,183,202,6946,3904.96,7,0,1
P08,T0154,2024-02-29,2024-04-28,2024-05-03,Deployment,Execution,HR,1,Medium,177,190,5941,5814.03,8,5,1
P09,T0155,2024-05-14,2024-06-19,2024-06-16,Design,Closure,IT,2,Low,165,184,7267,6406.4,9,-3,1
P05,T0156,2024-02-26,2024-05-11,2024-05-04,Analysis,Planning,HR,1,Low,21,24,8128,9642.75,6,-7,1
P01,T0157,2024-02-05,2024-02-19,2024-03-19,Testing,Execution,Operations,2,High,196,191,3461,2281.44,7,29,0
P03,T0158,2024-06-21,2024-07-29,2024-07-22,Analysis,Planning,IT,3,Low,96,88,1685,1318.99,5,-7,1
P10,T0159,2024-01-20,2024-03-06,2024-03-20,Deployment,Execution,Operations,2,Medium,151,156,3160,2780.11,10,14,1
P08,T0160,2024-03-05,2024-04-21,2024-04-13,Design,Closure,Marketing,2,Low,109,105,8031,8466.2,7,-8,1
P06,T0161,2024-01-08,2024-01-25,2024-02-15,Design,Closure,IT,5,Medium,108,111,6341,5606.63,7,21,0
P08,T0162,2024-05-23,2024-08-05,2024-07-28,Deployment,Execution,Operations,4,Low,113,111,1038,964.33,7,-8,1
P09,T0163,2024-05-21,2024-06-16,2024-07-02,Deployment,Closure,Marketing,4,High,26,30,5875,3867.53,7,16,0
P04,T0164,2024-04-24,2024-07-13,2024-07-31,Testing,Execution,HR,3,Low,114,124,2256,2465.45,6,18,0
P01,T0165,2024-05-22,2024-07-15,2024-08-05,Design,Closure,Marketing,3,Low,127,151,8697,6957.96,10,21,0
P01,T0166,2024-04-01,2024-04-14,2024-04-22,Analysis,Planning,Finance,4,Low,93,84,3196,1913.35,10,8,1
P10,T0167,2024-04-07,2024-05-22,2024-06-01,Development,Closure,Marketing,5,Low,58,74,8165,7878.67,10,10,1
P04,T0168,2024-03-06,2024-05-24,2024-05-18,Development,Planning,Marketing,4,Medium,160,151,1301,847.29,8,-6,1
P07,T0169,2024-02-01,2024-03-12,2024-03-19,Deployment,Closure,Finance,5,Low,178,202,8527,4845.84,9,7,1
P02,T0170,2024-03-26,2024-04-23,2024-05-10,Testing,Planning,Operations,3,High,90,97,7381,8144.13,10,17,0
P03,T0171,2024-02-20,2024-04-30,2024-05-11,Development,Closure,Operations,1,Low,75,78,1646,1353.2,7,11,1
P01,T0172,2024-06-01,2024-08-03,2024-08-13,Design,Planning,Marketing,3,Low,189,198,9789,10028.82,7,10,1
P05,T0173,2024-03-03,2024-04-20,2024-04-15,Deployment,Execution,Finance,3,Medium,61,68,9853,6930.71,10,-5,1
P01,T0174,2024-05-04,2024-07-26,2024-07-16,Analysis,Execution,Finance,2,Medium,55,54,5330,5601.19,10,-10,1
P08,T0175,2024-05-29,2024-06-26,2024-06-20,Deployment,Planning,HR,2,Low,103,117,8003,4628.58,7,-6,1
P01,T0176,2024-02-27,2024-04-15,2024-05-15,Analysis,Closure,Operations,2,Low,137,128,4537,3399.04,8,30,0
P01,T0177,2024-02-27,2024-05-13,2024-05-14,Deployment,Planning,IT,2,Low,26,40,5558,6584.25,5,1,1
P02,T0178,2024-03-26,2024-05-19,2024-06-03,Deployment,Closure,Operations,5,Medium,73,95,7579,8001.85,5,15,1
P02,T0179,2024-02-18,2024-03-11,2024-04-03,Deployment,Execution,Operations,4,Medium,148,173,9474,8034.7,10,23,0
P06,T0180,2024-06-28,2024-09-03,2024-09-06,Analysis,Closure,HR,1,Low,191,211,5082,3749.72,6,3,1
P07,T0181,2024-06-18,2024-07-17,2024-08-01,Analysis,Execution,IT,3,High,139,142,5183,5755.7,10,15,1
P05,T0182,2024-03-10,2024-05-30,2024-06-15,Deployment,Closure,HR,5,High,192,182,9652,8507.21,10,16,0
P01,T0183,2024-01-15,2024-03-25,2024-03-23,Development,Closure,IT,1,Medium,125,130,4754,4900.89,5,-2,1
P01,T0184,2024-02-23,2024-04-11,2024-04-26,Testing,Closure,Marketing,5,High,66,58,2724,2799.93,7,15,1
P03,T0185,2024-04-10,2024-04-20,2024-05-01,Testing,Planning,IT,5,Low,142,166,2376,1217.85,10,11,1
P02,T0186,2024-01-08,2024-01-20,2024-02-08,Testing,Planning,HR,3,Low,160,155,9706,5710.79,7,19,0
P05,T0187,2024-02-22,2024-05-18,2024-05-24,Analysis,Execution,Operations,4,Low,138,152,9894,9515.46,7,6,1
P10,T0188,2024-02-29,2024-05-10,2024-05-25,Analysis,Execution,IT,2,Low,169,171,2653,1626.64,6,15,1
P06,T0189,2024-04-17,2024-06-28,2024-07-23,Development,Planning,IT,4,Medium,137,160,3066,2081.34,7,25,0
P07,T0190,2024-01-05,2024-02-08,2024-01-29,Testing,Execution,Finance,3,High,40,37,1022,1188.22,5,-10,1
P04,T0191,2024-04-12,2024-06-16,2024-06-13,Testing,Planning,Operations,3,Low,156,166,3460,3086.76,8,-3,1
P07,T0192,2024-01-06,2024-02-17,2024-03-12,Deployment,Closure,Marketing,3,Low,45,68,6926,7102.69,8,24,0
P08,T0193,2024-04-18,2024-06-04,2024-06-08,Analysis,Execution,HR,1,Low,28,21,7251,6457.64,9,4,1
P01,T0194,2024-04-25,2024-05-10,2024-05-21,Testing,Execution,Marketing,4,High,34,48,8295,7355.67,10,11,1
P06,T0195,2024-04-03,2024-06-09,2024-06-12,Development,Planning,Operations,4,Low,29,33,4300,2433.4,5,3,1
P08,T0196,2024-02-16,2024-04-09,2024-04-24,Development,Execution,IT,5,Medium,141,134,7279,5390.57,7,15,1
P05,T0197,2024-04-08,2024-06-01,2024-06-18,Testing,Execution,IT,5,Low,140,141,9553,6665.14,8,17,0
P04,T0198,2024-02-24,2024-04-05,2024-04-17,Analysis,Closure,Operations,5,Low,144,165,8353,6461.13,5,12,1
P02,T0199,2024-06-16,2024-08-09,2024-08-12,Development,Execution,IT,3,High,189,210,4727,5005.14,8,3,1
P06,T0200,2024-02-21,2024-05-01,2024-05-14,Deployment,Closure,IT,4,High,91,108,7272,5529.29,7,13,1
