program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
142,18,0.145,360.42,1
143,47,0.2,426.47,1
144,3,0.006,185.59,0
145,25,0.027,422.49,1
146,35,0.316,22.65,0
147,25,0.147,12.56,0
148,55,0.324,138.36,0
149,51,0.027,186.9,0
150,39,0.188,19.76,0
151,40,0.212,311.01,1
152,35,0.385,215.59,0
153,30,0.079,134.09,0
154,51,0.136,349.27,1
155,30,0.153,170.36,0
156,58,0.18,70.43,0
157,14,0.235,462.29,1
158,56,0.347,462.4,1
159,5,0.279,75.51,0
160,2,0.347,152.72,0
161,37,0.197,88.15,0
162,48,0.168,83.75,0
163,55,0.47,380.97,1
164,35,0.404,497.23,1
165,1,0.21,39.2,0
166,40,0.146,54.25,0
167,18,0.092,398.24,1
168,16,0.456,169.42,0
169,23,0.232,216.61,0
170,38,0.353,14.26,0
171,41,0.258,144.29,0
172,8,0.379,267.39,0
173,43,0.162,234.85,0
174,37,0.392,73.33,0
175,7,0.342,449.06,1
176,18,0.301,214.69,0
177,31,0.38,169.18,0
178,45,0.337,443.62,1
179,56,0.401,376.1,1
180,13,0.225,434.11,1
181,57,0.072,469.45,1
182,45,0.121,494.92,1
183,59,0.219,321.87,1
184,40,0.478,146.19,0
185,37,0.491,162.74,0
186,24,0.034,22.09,0
187,50,0.363,329.92,1
188,32,0.086,80.96,0
189,6,0.375,286.92,0
190,12,0.14,459.29,1
191,7,0.088,46.19,0
192,17,0.206,191.12,0
193,36,0.419,363.06,1
194,4,0.275,351.42,1
195,47,0.226,414.29,1
196,11,0.153,197.41,0
197,33,0.137,14.02,0
198,42,0.106,200.5,0
199,33,0.315,400.46,1
200,46,0.339,51.71,0
201,34,0.01,339.62,1
202,36,0.236,289.62,1
203,37,0.306,478.69,1
204,45,0.176,350.08,1
205,21,0.322,435.43,1
206,34,0.348,395.15,1
207,6,0.09,152.11,0
208,8,0.173,39.24,0
209,47,0.308,122.65,0
210,19,0.299,281.78,0
211,28,0.093,456.64,1
212,6,0.19,347.31,1
213,42,0.429,456.68,1
214,59,0.248,496.43,1
215,21,0.463,256.21,0
216,56,0.357,480.24,1
217,21,0.125,131.76,0
218,16,0.348,67.52,0
219,47,0.005,270.05,1
220,34,0.442,91.75,0
221,42,0.102,157.8,0
222,14,0.074,88.33,0
223,14,0.36,85.78,0
224,47,0.373,411.66,1
225,44,0.209,39.42,0
226,2,0.061,298.31,0
227,6,0.408,85.5,0
228,51,0.381,342.44,1
229,5,0.183,213.28,0
230,42,0.429,326.02,1
231,26,0.268,418.34,1
232,10,0.039,467.71,1
233,42,0.321,436.78,1
234,43,0.358,457.07,1
235,29,0.447,387.47,1
236,42,0.103,282.03,1
237,36,0.369,133.86,0
238,18,0.48,108.34,0
239,49,0.094,59.87,0
240,44,0.437,49.19,0
241,57,0.368,441.34,1
242,47,0.4,348.37,1
243,29,0.156,382.23,1
244,55,0.226,282.52,1
245,45,0.037,236.9,0
246,22,0.211,452.5,1
247,6,0.055,366.87,1
248,25,0.058,112.01,0
249,2,0.111,470.55,1
250,39,0.393,287.85,1
251,52,0.049,145.44,0
252,50,0.316,406.56,1
253,22,0.025,442.28,1
254,9,0.315,181.84,0
255,36,0.384,302.27,1
256,58,0.405,294.92,1
257,42,0.115,173.55,0
258,35,0.396,282.63,1
259,19,0.157,74.01,0
260,4,0.38,206.86,0
261,7,0.269,338.66,1
262,7,0.082,151.19,0
263,59,0.4,360.69,1
264,39,0.414,148.12,0
265,52,0.413,283.87,1
266,53,0.34,158.9,0
267,13,0.142,365.45,1
268,19,0.062,10.24,0
269,35,0.192,55.58,0
270,7,0.042,109.38,0
271,48,0.345,116.3,0
272,23,0.09,60.24,0
273,56,0.452,486.43,1
274,6,0.269,58.1,0
275,13,0.044,476.06,1
276,27,0.211,23.05,0
277,12,0.092,258.31,0
278,56,0.104,143.46,0
279,23,0.198,240.76,0
280,26,0.153,279.64,0
281,29,0.307,363.91,1
282,56,0.139,197.48,0
283,57,0.282,291.53,1
284,4,0.145,300.3,0
285,19,0.203,346.95,1
286,19,0.447,248.32,0
287,37,0.238,418.43,1
288,31,0.278,495.49,1
289,6,0.081,151.7,0
290,29,0.057,143.84,0
291,44,0.423,153.69,0
292,58,0.447,141.61,0
293,40,0.409,295.65,1
294,58,0.247,335.3,1
295,59,0.324,374.57,1
296,24,0.018,292.26,1
297,24,0.409,174.61,0
298,50,0.434,438.43,1
299,25,0.05,465.59,1
300,9,0.288,493.32,1
301,52,0.044,185.15,0
302,1,0.373,220.92,0
303,9,0.146,343.49,1
304,4,0.065,187.06,0
305,43,0.296,228.41,0
306,47,0.476,20.6,0
307,32,0.345,478.64,1
308,5,0.03,315.33,1
309,44,0.273,63.57,0
310,21,0.461,334.2,1
311,46,0.262,199.26,0
312,9,0.171,70.04,0
313,13,0.382,462.44,1
314,56,0.402,185.82,0
315,27,0.262,290.29,1
316,3,0.242,262.08,0
317,28,0.073,457.16,1
318,42,0.439,454.3,1
319,49,0.176,255.3,0
320,14,0.155,378.19,1
321,8,0.46,206.56,0
322,50,0.337,59.37,0
323,33,0.035,196.09,0
324,18,0.241,146.73,0
325,47,0.018,164.68,0
326,34,0.187,278.06,1
327,34,0.399,281.64,1
328,43,0.041,82.68,0
329,52,0.077,301.83,1
330,14,0.486,357.79,1
331,44,0.32,335.59,1
332,31,0.036,430.09,1
333,59,0.185,61.94,0
334,57,0.256,176.31,0
335,46,0.392,305.88,1
336,44,0.275,463.07,1
337,3,0.41,75.62,0
338,28,0.258,116.02,0
339,30,0.216,191.78,0
340,18,0.475,424.39,1
341,9,0.194,154.19,0
342,57,0.251,461.33,1
343,24,0.13,45.13,0
344,5,0.199,231.41,0
345,30,0.081,103.86,0
346,46,0.231,251.98,0
347,3,0.012,396.66,1
348,13,0.185,246.13,0
349,35,0.143,53.23,0
350,12,0.277,389.72,1
351,6,0.199,177.66,0
352,1,0.197,399.89,1
353,42,0.451,316.87,1
354,41,0.087,289.37,1
355,11,0.382,265.9,0
356,21,0.24,297.27,1
357,20,0.313,231.94,0
358,18,0.257,327.54,1
359,56,0.029,377.89,1
360,17,0.341,418.01,1
361,30,0.311,357.39,1
362,36,0.392,487.42,1
363,37,0.181,120.71,0
364,20,0.175,495.77,1
365,55,0.436,358.72,1
366,34,0.011,487.49,1
367,25,0.169,487.22,1
368,5,0.362,388.67,1
369,59,0.163,44.98,0
370,26,0.458,469.74,1
371,33,0.417,89.51,0
372,7,0.193,300.04,0
373,11,0.343,233.86,0
374,53,0.346,472.72,1
375,50,0.33,287.73,1
376,5,0.391,480.76,1
377,34,0.317,313.23,1
378,15,0.057,368.43,1
379,2,0.403,229.0,0
380,36,0.258,325.49,1
381,47,0.217,304.12,1
382,27,0.022,298.72,1
383,4,0.09,497.52,1
384,2,0.051,44.68,0
385,39,0.312,337.42,1
386,21,0.29,413.98,1
387,5,0.08,354.28,1
388,39,0.195,24.38,0
389,23,0.164,173.99,0
390,19,0.14,183.76,0
391,26,0.255,496.25,1
392,44,0.347,486.44,1
393,42,0.009,156.07,0
394,58,0.001,189.8,0
395,46,0.389,194.68,0
396,43,0.15,46.23,0
397,36,0.218,478.85,1
398,5,0.45,329.87,1
399,4,0.278,320.39,1
400,32,0.173,231.94,0
401,55,0.367,317.65,1
402,41,0.217,400.58,1
403,56,0.087,55.89,0
404,43,0.335,164.11,0
405,28,0.11,410.17,1
406,57,0.291,460.02,1
407,51,0.45,373.23,1
408,1,0.408,126.02,0
409,43,0.011,385.97,1
410,36,0.389,81.81,0
411,57,0.202,94.46,0
412,26,0.428,16.93,0
413,37,0.19,416.28,1
414,44,0.276,458.9,1
415,34,0.43,104.87,0
416,44,0.102,429.49,1
417,58,0.311,496.29,1
418,33,0.369,316.15,1
419,32,0.191,17.36,0
420,46,0.346,478.18,1
421,2,0.055,321.22,1
422,37,0.175,89.22,0
423,45,0.435,150.93,0
424,3,0.085,285.92,0
425,58,0.153,406.99,1
426,40,0.319,488.7,1
427,41,0.125,439.84,1
428,28,0.02,43.27,0
429,43,0.202,267.58,1
430,48,0.478,192.86,0
431,41,0.208,333.16,1
432,21,0.046,361.62,1
433,8,0.011,419.2,1
434,29,0.452,16.58,0
435,38,0.187,29.18,0
436,45,0.23,247.95,0
437,26,0.286,282.27,0
438,42,0.442,12.32,0
439,3,0.148,473.96,1
440,39,0.469,405.52,1
441,30,0.157,24.51,0
442,21,0.444,130.54,0
443,3,0.247,85.22,0
444,15,0.425,281.68,0
445,28,0.013,54.4,0
446,52,0.41,406.24,1
447,28,0.391,27.95,0
448,46,0.443,314.22,1
449,18,0.05,318.82,1
450,2,0.295,263.89,0
451,35,0.127,286.44,1
452,23,0.178,317.55,1
453,50,0.193,304.01,1
454,11,0.262,371.31,1
455,43,0.333,457.24,1
456,29,0.174,349.79,1
457,58,0.003,310.48,1
458,18,0.461,252.94,0
459,43,0.366,118.41,0
460,32,0.481,436.58,1
461,6,0.427,221.21,0
462,38,0.478,469.51,1
463,16,0.342,417.87,1
464,58,0.255,150.13,0
465,18,0.303,235.79,0
466,24,0.264,448.55,1
467,20,0.059,161.89,0
468,51,0.029,93.7,0
469,6,0.106,237.08,0
470,6,0.07,143.81,0
471,46,0.262,145.38,0
472,43,0.055,245.99,0
473,26,0.397,294.43,1
474,39,0.101,74.87,0
475,55,0.199,466.78,1
476,5,0.203,33.68,0
477,48,0.235,176.13,0
478,14,0.169,214.38,0
479,55,0.128,16.67,0
480,17,0.162,138.18,0
481,18,0.465,477.67,1
482,24,0.269,107.4,0
483,10,0.017,31.61,0
484,44,0.048,29.9,0
485,3,0.199,138.2,0
486,38,0.151,158.55,0
487,42,0.319,426.31,1
488,21,0.441,217.62,0
489,57,0.131,74.85,0
490,13,0.086,163.65,0
491,54,0.254,420.36,1
492,30,0.08,441.47,1
493,39,0.384,100.5,0
494,16,0.087,225.8,0
495,3,0.491,141.46,0
496,46,0.396,115.6,0
497,42,0.189,186.03,0
498,50,0.067,309.45,1
499,6,0.172,341.67,1
500,49,0.387,460.8,1
501,39,0.095,167.01,0
502,10,0.383,214.89,0
503,39,0.107,29.86,0
504,21,0.234,334.49,1
505,15,0.124,406.47,1
506,44,0.211,226.83,0
507,54,0.08,62.24,0
508,37,0.116,414.37,1
509,31,0.195,109.23,0
510,56,0.375,19.54,0
511,54,0.11,73.87,0
512,46,0.168,37.97,0
513,15,0.222,168.6,0
514,4,0.481,347.38,1
515,11,0.494,306.21,1
516,32,0.487,391.59,1
517,10,0.306,489.43,1
518,12,0.17,450.55,1
519,22,0.085,11.48,0
520,40,0.082,234.35,0
521,46,0.319,232.0,0
522,2,0.052,108.28,0
523,13,0.238,363.62,1
524,44,0.499,43.3,0
525,15,0.036,374.95,1
526,23,0.242,255.79,0
527,17,0.248,487.94,1
528,58,0.311,179.74,0
529,44,0.344,345.57,1
530,47,0.325,216.24,0
531,34,0.411,171.92,0
532,11,0.334,318.03,1
533,3,0.238,362.71,1
534,2,0.37,146.82,0
535,42,0.361,24.14,0
536,5,0.204,302.94,0
537,33,0.059,295.91,1
538,2,0.215,352.14,1
539,14,0.289,259.64,0
540,27,0.241,151.6,0
541,16,0.191,240.58,0
542,36,0.03,233.16,0
543,54,0.106,157.47,0
544,10,0.315,153.2,0
545,47,0.164,392.19,1
546,25,0.086,353.42,1
547,4,0.256,420.12,1
548,39,0.006,257.6,0
549,50,0.187,238.78,0
550,48,0.382,105.89,0
551,52,0.207,119.53,0
552,13,0.056,111.57,0
553,56,0.064,141.36,0
554,33,0.485,90.28,0
555,55,0.277,90.6,0
556,9,0.104,102.76,0
557,33,0.219,371.03,1
558,25,0.007,377.95,1
559,28,0.087,70.05,0
560,25,0.36,180.33,0
561,23,0.279,206.06,0
562,2,0.241,312.13,1
563,13,0.397,279.92,0
564,20,0.365,42.56,0
565,27,0.438,323.77,1
566,28,0.296,203.65,0
567,39,0.445,435.26,1
568,45,0.005,166.68,0
569,7,0.345,372.39,1
570,19,0.425,358.73,1
571,37,0.494,461.45,1
572,47,0.415,205.19,0
573,7,0.383,88.74,0
574,40,0.214,464.55,1
575,36,0.487,222.16,0
576,55,0.355,496.01,1
577,17,0.417,252.32,0
578,17,0.074,33.74,0
579,23,0.429,42.86,0
580,28,0.026,464.67,1
581,7,0.424,353.59,1
582,12,0.387,30.51,0
583,23,0.205,58.81,0
584,56,0.417,203.94,0
585,16,0.116,304.02,1
586,54,0.362,290.9,1
587,50,0.242,186.58,0
588,46,0.21,290.6,1
589,22,0.335,111.08,0
590,29,0.037,455.89,1
591,9,0.449,134.11,0
592,22,0.044,308.79,1
593,36,0.125,123.35,0
594,43,0.475,369.11,1
595,33,0.389,263.07,0
596,14,0.271,233.24,0
597,19,0.133,214.54,0
598,3,0.212,45.74,0
599,17,0.216,432.52,1
600,2,0.425,163.97,0
601,42,0.083,197.74,0
602,1,0.453,177.07,0
603,20,0.269,51.02,0
604,33,0.171,497.07,1
605,59,0.362,444.77,1
606,5,0.152,261.18,0
607,28,0.053,81.69,0
608,8,0.394,141.32,0
609,10,0.331,37.07,0
610,10,0.048,182.82,0
611,32,0.294,45.98,0
612,40,0.245,434.08,1
613,39,0.432,270.07,1
614,15,0.366,142.68,0
615,29,0.186,323.4,1
616,41,0.156,304.2,1
617,19,0.306,150.37,0
618,11,0.047,18.33,0
619,19,0.089,287.71,0
620,23,0.246,169.93,0
621,32,0.392,49.61,0
622,47,0.227,491.71,1
623,19,0.284,439.17,1
624,16,0.36,160.74,0
625,59,0.156,55.78,0
626,13,0.026,250.58,0
627,48,0.214,39.81,0
628,44,0.365,393.24,1
629,16,0.021,267.1,0
630,32,0.247,196.26,0
631,59,0.46,26.95,0
632,50,0.01,186.42,0
633,33,0.428,46.51,0
634,23,0.29,494.76,1
635,53,0.163,494.63,1
636,53,0.077,450.36,1
637,37,0.199,139.22,0
638,5,0.008,241.31,0
639,59,0.148,448.44,1
640,31,0.406,343.34,1
641,43,0.047,457.67,1
642,31,0.25,127.55,0
643,42,0.032,396.17,1
644,16,0.082,195.91,0
645,27,0.427,480.84,1
646,19,0.15,389.77,1
647,22,0.34,359.78,1
648,2,0.475,375.32,1
649,4,0.427,382.13,1
650,37,0.166,120.2,0
651,58,0.426,242.99,0
652,49,0.001,488.91,1
653,30,0.236,494.69,1
654,44,0.473,33.18,0
655,24,0.124,50.55,0
656,28,0.077,353.23,1
657,50,0.234,15.52,0
658,15,0.36,343.75,1
659,31,0.097,494.77,1
660,24,0.06,237.76,0
661,34,0.108,80.71,0
662,11,0.043,317.16,1
663,34,0.237,124.1,0
664,30,0.183,413.73,1
665,6,0.411,199.04,0
666,39,0.482,401.27,1
667,43,0.001,45.82,0
668,1,0.031,264.55,0
669,38,0.139,95.13,0
670,47,0.267,210.49,0
671,53,0.209,28.83,0
672,33,0.11,136.52,0
673,51,0.171,415.51,1
674,50,0.175,314.11,1
675,59,0.09,490.2,1
676,50,0.198,123.25,0
677,18,0.169,268.2,0
678,4,0.235,241.15,0
679,15,0.139,194.14,0
680,30,0.181,486.34,1
681,23,0.221,406.84,1
682,52,0.171,356.8,1
683,50,0.362,282.96,1
684,24,0.313,25.71,0
685,38,0.239,245.81,0
686,13,0.253,32.85,0
687,51,0.321,496.68,1
688,36,0.172,77.34,0
689,42,0.18,74.03,0
690,52,0.024,344.44,1
691,46,0.178,482.69,1
692,54,0.121,316.49,1
693,4,0.294,140.26,0
694,7,0.187,45.18,0
695,49,0.22,417.98,1
696,7,0.369,231.79,0
697,52,0.452,300.34,1
698,13,0.204,300.62,1
699,2,0.396,325.13,1
700,26,0.352,177.0,0
701,54,0.041,495.96,1
702,28,0.019,181.04,0
703,10,0.223,362.46,1
704,3,0.138,49.24,0
705,42,0.272,57.99,0
706,50,0.299,70.44,0
707,3,0.355,11.32,0
708,38,0.102,444.26,1
709,18,0.354,257.2,0
710,9,0.358,233.01,0
711,23,0.254,310.61,1
712,40,0.091,37.42,0
713,5,0.363,477.43,1
714,17,0.014,209.86,0
715,40,0.028,254.57,0
716,2,0.237,381.18,1
717,29,0.109,353.1,1
718,45,0.176,196.01,0
719,5,0.497,365.51,1
720,52,0.072,151.54,0
721,59,0.309,42.47,0
722,7,0.225,269.02,0
723,23,0.379,335.71,1
724,40,0.497,262.3,0
725,22,0.216,234.58,0
726,22,0.362,356.16,1
727,39,0.169,177.64,0
728,5,0.144,112.22,0
729,1,0.209,231.15,0
730,44,0.012,342.39,1
731,43,0.387,240.2,0
732,21,0.366,264.49,0
733,30,0.095,20.72,0
734,10,0.012,437.65,1
735,31,0.14,358.22,1
736,7,0.079,415.81,1
737,6,0.335,425.75,1
738,33,0.433,382.19,1
739,46,0.453,499.97,1
740,55,0.272,467.35,1
741,52,0.467,328.46,1
742,57,0.203,497.48,1
743,22,0.215,161.2,0
744,15,0.166,220.17,0
745,16,0.142,481.25,1
746,1,0.131,402.0,1
747,24,0.192,330.72,1
748,42,0.325,359.33,1
749,54,0.159,156.74,0
750,47,0.477,76.64,0
751,36,0.417,480.2,1
752,4,0.162,150.36,0
753,1,0.257,185.59,0
754,58,0.374,61.28,0
755,17,0.183,308.36,1
756,5,0.118,174.55,0
757,18,0.275,13.98,0
758,52,0.389,486.56,1
759,23,0.445,421.69,1
760,27,0.491,222.22,0
761,54,0.415,123.7,0
762,12,0.043,126.46,0
763,36,0.244,205.11,0
764,37,0.079,87.74,0
765,23,0.219,184.64,0
766,38,0.021,296.22,1
767,29,0.402,242.99,0
768,49,0.061,67.43,0
769,44,0.318,116.87,0
770,28,0.346,299.07,1
771,41,0.171,237.84,0
772,3,0.335,81.96,0
773,40,0.34,480.61,1
774,38,0.181,193.12,0
775,20,0.395,24.35,0
776,30,0.118,168.44,0
777,47,0.428,300.92,1
778,44,0.138,342.7,1
779,11,0.008,385.05,1
780,17,0.271,153.54,0
781,50,0.352,194.79,0
782,32,0.424,151.32,0
783,24,0.149,57.44,0
784,1,0.105,196.07,0
785,19,0.052,380.03,1
786,23,0.216,336.6,1
787,16,0.311,260.96,0
788,10,0.067,395.95,1
789,18,0.081,109.79,0
790,8,0.469,385.69,1
791,48,0.498,185.22,0
792,18,0.417,55.0,0
793,55,0.024,478.39,1
794,37,0.092,282.94,1
795,14,0.041,87.19,0
796,1,0.439,209.58,0
797,38,0.153,425.86,1
798,8,0.48,421.93,1
799,37,0.439,62.94,0
800,36,0.335,220.43,0
